Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,G+A-PK,xG+xAG,PrgC,PrgP,PrgR,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK_stats_shooting,PKatt_stats_shooting,xG_stats_shooting,npxG_stats_shooting,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Ast_stats_passing,xAG_stats_passing,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP_stats_passing,Live,Dead,FK_stats_passing_types,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp_stats_passing_types,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Att_stats_defense,Tkl%,Lost,Blocks_stats_defense,Sh_stats_defense,Pass,Int,Tkl+Int,Clr,Err,SCA,SCA90,PassLive,PassDead,TO,Sh_stats_gca,Fld,Def,GCA,GCA90,Touches,Def Pen,Def 3rd_stats_possession,Mid 3rd_stats_possession,Att 3rd_stats_possession,Att Pen,Live_stats_possession,Att_stats_possession,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_stats_possession,PrgDist_stats_possession,PrgC_stats_possession,1/3_stats_possession,CPA,Mis,Dis,Rec,PrgR_stats_possession,CrdY_stats_misc,CrdR_stats_misc,2CrdY,Fls,Fld_stats_misc,Off_stats_misc,Crs_stats_misc,Int_stats_misc,TklW_stats_misc,PKwon,PKcon,OG,Recov,Won,Lost_stats_misc,Won%,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp_stats_keeper_adv,Att_stats_keeper_adv,Cmp%_stats_keeper_adv,Att (GK),Thr,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
902,André Ferreira,pt POR,GK,Valladolid,es La Liga,28.0,1996,6,6,540,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0,0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,138,195,70.8,3984,2985,0,0.0,0.0,0.0,0,1,0,0,0,117,77,21,0,0,0,0,0,0,0,0,138,0,0,0,0,0,0,,0,0,0,0,0,0,4,2,1,0.17,0,1,0,0,0,0,0,0.00,216,185,215,1,0,0,216,0,0,,0,,83,441,280,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0.0,20,3.33,39,19,56.4,0,0,6,0,0.0,3,3,0,0,15.3,0.35,-4.7,-0.79,30,83,36.1,138,26,37.0,33.8,92,4,4.3,3,0.50,10.4
903,Jordan Ferri,fr FRA,MF,Montpellier,fr Ligue 1,32.0,1992,25,21,1773,19.7,0,2,2,0,0,0,6,1,0.4,0.4,0.9,1.3,0.10,0.07,19,137,42,14,3,21.4,0.71,0.15,0.00,0.00,26.0,0,0,0,0.4,0.4,0.03,-0.4,-0.4,1119,1267,88.3,19942,5049,2,0.9,1.3,+1.1,13,119,11,4,137,1204,58,45,2,7,25,13,0,0,0,0,1119,42,23,18,22,2,44,40.9,26,20,3,17,9,51,20,0,47,2.39,40,0,0,2,4,1,5,0.25,1433,35,316,869,265,13,1433,28,9,32.1,16,57.1,802,3793,1663,19,16,2,16,27,1066,42,6,1,0,35,30,0,25,9,23,0,3,0,132,13,15,46.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
904,Daniel Fila,cz CZE,FW,Venezia,it Serie A,21.0,2002,10,6,492,5.5,2,0,2,2,0,0,3,1,1.4,1.4,0.3,1.8,0.37,0.32,5,8,30,8,5,62.5,1.46,0.91,0.25,0.40,13.4,0,0,0,1.4,1.4,0.18,+0.6,+0.6,70,90,77.8,884,140,0,0.3,0.4,-0.3,6,4,3,0,8,80,10,0,0,0,0,0,0,0,0,0,70,2,0,0,1,1,2,0.0,2,6,0,6,0,2,5,0,15,2.74,9,0,2,1,3,0,0,0.00,147,5,12,68,68,19,147,4,2,50.0,1,25.0,82,372,121,5,6,1,16,14,102,30,3,1,1,13,7,3,0,0,0,0,0,0,9,7,20,25.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
905,Karol Fila,pl POL,MF,Strasbourg,fr Ligue 1,26.0,1998,1,0,5,0.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.00,0.00,0,0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,2,4,50.0,18,0,0,0.0,0.0,0.0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,4,0,2,2,0,0,4,0,0,,0,,1,1,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
906,Kilian Fischer,de GER,DF,Wolfsburg,de Bundesliga,23.0,2000,32,29,2297,25.5,1,0,1,1,0,0,7,0,0.3,0.3,0.5,0.8,0.04,0.03,51,110,89,6,1,16.7,0.24,0.04,0.17,1.00,20.5,0,0,0,0.3,0.3,0.05,+0.7,+0.7,976,1241,78.6,17089,5575,0,0.5,1.0,-0.5,12,73,20,3,110,985,254,17,0,4,39,237,0,0,0,0,976,64,44,48,12,4,89,52.8,42,41,8,33,19,83,98,2,39,1.53,33,4,0,1,0,1,2,0.08,1529,87,527,666,348,20,1529,23,10,43.5,13,56.5,704,4025,2047,51,31,5,31,9,794,89,7,0,0,34,7,0,39,19,44,0,0,0,84,21,36,36.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
907,Mark Flekken,nl NED,GK,Brentford,eng Premier League,31.0,1993,37,37,3275,36.4,0,2,2,0,0,0,1,0,0.0,0.0,0.5,0.5,0.05,0.01,0,0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,1254,1717,73.0,37000,25308,2,0.5,0.1,+1.5,3,50,2,0,0,1367,343,131,0,5,0,0,0,0,0,0,1254,4,4,4,0,0,9,33.3,6,2,0,2,0,4,26,4,10,0.27,6,4,0,0,0,0,2,0.05,1824,1436,1777,52,0,0,1824,1,1,100.0,0,0.0,1122,5725,3253,0,0,0,3,0,1015,0,1,0,0,0,3,0,0,0,4,0,0,0,39,4,0,100.0,55,1.51,203,150,73.4,16,8,13,7,18.9,1,1,0,0,52.7,0.26,-0.3,-0.01,249,659,37.8,1498,122,33.7,34.4,581,46,7.9,34,0.93,11.5
908,Alessandro Florenzi,it ITA,FW,Milan,it Serie A,33.0,1991,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0,0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,3,4,75.0,54,43,0,0.0,0.0,0.0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,4,0,1,1,2,0,4,0,0,,0,,4,8,2,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
909,Mateo Flores,es ESP,MF,Betis,es La Liga,20.0,2004,6,1,153,1.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.00,0.00,0,9,2,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,56,69,81.2,955,282,0,0.0,0.1,0.0,0,3,1,1,9,67,2,2,0,0,1,0,0,0,0,0,56,3,1,3,0,0,1,100.0,0,1,0,1,2,5,3,0,2,1.18,2,0,0,0,0,0,0,0.00,84,4,27,47,11,1,84,0,0,,0,,47,189,55,0,0,0,3,3,50,2,1,0,0,4,1,0,1,2,1,0,0,0,12,0,2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
910,Phil Foden,eng ENG,"MF,FW",Manchester City,eng Premier League,24.0,2000,28,20,1777,19.7,7,2,9,7,0,0,2,0,5.2,5.2,4.8,9.9,0.46,0.50,50,103,128,54,16,29.6,2.73,0.81,0.13,0.44,18.6,2,0,0,5.2,5.2,0.10,+1.8,+1.8,791,941,84.1,12385,2615,2,4.8,5.3,-2.8,43,41,39,6,103,854,83,21,7,2,80,5,46,30,8,1,791,13,5,5,4,4,18,38.9,11,13,1,12,9,22,7,1,88,4.46,58,18,3,6,3,0,9,0.46,1139,13,85,382,681,83,1139,43,14,32.6,23,53.5,722,3720,1782,50,30,17,36,31,894,128,2,0,0,5,34,3,80,9,5,0,0,0,61,3,9,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
911,Malick Fofana,be BEL,FW,Lyon,fr Ligue 1,19.0,2005,29,16,1589,17.7,5,4,9,5,0,0,2,0,3.8,3.8,3.7,7.6,0.51,0.43,112,45,205,31,15,48.4,1.76,0.85,0.16,0.33,15.0,0,0,0,3.8,3.8,0.12,+1.2,+1.2,494,638,77.4,6737,1373,4,3.7,4.4,+0.3,25,20,32,13,45,623,14,1,1,0,70,13,0,0,0,0,494,22,11,8,11,3,17,47.1,9,12,0,12,8,30,6,0,55,3.12,41,0,6,3,5,0,11,0.62,828,7,79,284,487,95,828,59,24,40.7,31,52.5,587,4362,2643,112,57,39,36,18,645,205,2,0,0,13,36,10,70,8,11,1,0,0,63,2,12,14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
912,Rayan Fofana,fr FRA,"FW,MF",Lens,fr Ligue 1,18.0,2006,2,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0,0,2,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,5,8,62.5,59,0,0,0.0,0.0,0.0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,5,2,2,1,1,0,0,,0,0,0,0,0,2,0,0,0,0.00,0,0,0,0,0,0,0,0.00,14,0,3,7,5,0,14,1,0,0.0,1,100.0,7,36,3,0,0,0,1,0,6,2,0,0,0,1,1,0,0,0,2,0,0,0,2,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
913,Seko Fofana,ci CIV,MF,Rennes,fr Ligue 1,29.0,1995,16,9,844,9.4,1,1,2,1,0,0,3,0,1.8,1.8,1.2,2.9,0.21,0.31,32,72,38,24,6,25.0,2.56,0.64,0.04,0.17,21.2,0,0,0,1.8,1.8,0.07,-0.8,-0.8,499,552,90.4,7498,1759,1,1.2,1.0,-0.2,13,38,13,2,72,541,9,7,1,9,5,2,0,0,0,0,499,11,7,4,6,1,7,28.6,5,7,1,6,7,18,7,0,32,3.41,27,0,1,3,1,0,2,0.21,640,11,80,360,204,25,640,24,12,50.0,11,45.8,394,2234,1132,32,18,5,9,6,514,38,3,0,0,9,7,2,5,7,7,0,0,0,42,7,3,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
914,Wesley Fofana,fr FRA,DF,Chelsea,eng Premier League,23.0,2000,14,14,1172,13.0,0,0,0,0,0,0,7,0,0.4,0.4,0.4,0.8,0.00,0.07,19,32,4,3,0,0.0,0.23,0.00,0.00,,10.6,0,0,0,0.4,0.4,0.13,-0.4,-0.4,724,803,90.2,12262,3415,0,0.4,0.2,-0.4,6,54,1,0,32,758,44,23,0,0,1,20,0,0,0,0,724,13,12,6,7,0,14,42.9,8,14,9,5,14,27,55,2,15,1.15,12,1,1,1,0,0,0,0.00,933,81,370,523,55,10,933,15,8,53.3,3,20.0,557,3149,1614,19,12,1,16,5,665,4,7,0,0,24,16,0,1,14,12,0,0,0,54,27,12,69.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
915,Yahia Fofana,ci CIV,GK,Angers,fr Ligue 1,23.0,2000,33,33,2970,33.0,0,0,0,0,0,0,4,0,0.0,0.0,0.1,0.1,0.00,0.00,0,0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,697,1014,68.7,20260,14214,0,0.1,0.0,-0.1,1,11,0,0,0,654,358,97,0,1,0,0,0,0,0,0,697,0,0,0,0,0,2,0.0,2,0,0,0,1,1,25,2,4,0.12,3,1,0,0,0,0,0,0.00,1110,981,1104,6,0,0,1110,2,2,100.0,0,0.0,555,3389,2288,0,0,0,0,0,366,0,4,0,0,0,11,0,0,1,0,0,0,0,36,6,3,66.7,51,1.55,186,135,74.2,10,6,17,7,21.2,4,3,0,1,63.5,0.34,+12.5,+0.38,144,435,33.1,751,180,38.6,35.8,531,48,9.0,20,0.61,10.7
916,Youssouf Fofana,fr FRA,MF,Milan,it Serie A,25.0,1999,35,29,2504,27.8,1,6,7,1,0,0,5,0,1.3,1.3,3.4,4.7,0.25,0.17,44,176,32,36,5,13.9,1.29,0.18,0.03,0.20,26.2,0,0,0,1.3,1.3,0.04,-0.3,-0.3,1237,1444,85.7,21531,7225,6,3.4,2.6,+2.6,23,140,23,2,176,1390,50,47,13,7,10,3,0,0,0,0,1237,56,34,20,31,5,52,50.0,26,32,9,23,19,75,24,3,62,2.23,57,0,0,0,0,5,6,0.22,1655,35,328,1093,258,21,1655,31,14,45.2,17,54.8,986,5773,3150,44,49,5,30,20,1221,32,5,0,0,28,17,0,10,19,34,0,0,0,151,11,21,34.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
917,Jonas Föhrenbach,de GER,DF,Heidenheim,de Bundesliga,28.0,1996,27,22,1832,20.4,0,1,1,0,0,0,3,0,0.3,0.3,1.3,1.6,0.05,0.08,36,59,50,8,1,12.5,0.39,0.05,0.00,0.00,21.8,0,0,0,0.3,0.3,0.03,-0.3,-0.3,659,909,72.5,12027,5263,1,1.3,2.1,-0.3,14,62,15,11,59,741,167,8,0,2,59,159,0,0,0,0,659,45,24,25,15,5,35,62.9,13,29,3,26,16,61,57,0,34,1.67,30,1,1,1,1,0,4,0.20,1112,72,416,483,221,17,1112,17,7,41.2,9,52.9,521,2715,1474,36,11,4,16,3,584,50,3,0,0,14,4,1,59,16,24,0,0,0,67,14,17,45.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
918,Michael Folorunsho,it ITA,"FW,MF",Fiorentina,it Serie A,26.0,1998,14,6,650,7.2,0,0,0,0,0,0,5,0,1.1,1.1,0.6,1.7,0.00,0.23,13,21,33,9,3,33.3,1.25,0.42,0.00,0.00,14.0,0,0,0,1.1,1.1,0.12,-1.1,-1.1,178,252,70.6,2796,786,0,0.6,0.5,-0.6,3,13,6,2,21,228,23,7,0,0,21,15,1,1,0,0,178,19,12,9,6,4,20,40.0,12,9,1,8,4,23,10,0,14,1.94,9,0,2,1,1,1,1,0.14,342,6,71,164,113,16,342,18,9,50.0,6,33.3,190,1030,429,13,5,5,12,9,213,33,5,0,0,15,23,0,21,4,12,0,0,0,29,16,11,59.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
919,Michael Folorunsho,it ITA,"FW,MF",Napoli,it Serie A,26.0,1998,6,0,35,0.4,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0.00,0.27,0,0,2,1,0,0.0,2.57,0.00,0.00,,9.8,0,0,0,0.1,0.1,0.10,-0.1,-0.1,10,14,71.4,134,39,0,0.0,0.0,0.0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,10,3,2,0,3,0,4,50.0,2,0,0,0,1,4,1,1,0,0.00,0,0,0,0,0,0,0,0.00,26,0,3,17,7,1,26,3,0,0.0,3,100.0,6,57,10,0,0,0,2,0,13,2,0,0,0,2,1,0,0,1,2,0,0,0,2,2,2,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
920,Lamine Fomba,fr FRA,MF,Saint-Étienne,fr Ligue 1,26.0,1998,7,3,217,2.4,0,0,0,0,0,0,2,0,0.0,0.0,0.3,0.3,0.00,0.13,5,18,5,1,0,0.0,0.41,0.00,0.00,,27.0,0,0,0,0.0,0.0,0.02,0.0,0.0,121,145,83.4,2006,615,0,0.3,0.1,-0.3,1,14,2,0,18,144,1,1,1,2,1,0,0,0,0,0,121,8,6,2,5,1,7,28.6,5,7,1,6,4,12,5,1,4,1.66,3,0,0,0,0,1,0,0.00,183,6,29,117,39,3,183,3,2,66.7,1,33.3,114,705,291,5,5,0,8,2,134,5,2,0,0,13,2,1,1,4,6,0,1,0,13,3,6,33.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
921,Carlos Forbs,pt POR,"MF,FW",Wolves,eng Premier League,20.0,2004,10,1,239,2.7,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.2,0.00,0.07,10,8,28,2,0,0.0,0.75,0.00,0.00,,19.1,0,0,0,0.1,0.1,0.07,-0.1,-0.1,60,91,65.9,788,228,0,0.0,0.1,0.0,1,2,3,1,8,89,2,0,0,0,9,2,0,0,0,0,60,8,5,5,2,1,6,66.7,2,3,0,3,1,9,2,1,5,1.89,3,0,2,0,0,0,1,0.38,121,3,23,39,60,13,121,12,7,58.3,5,41.7,75,468,321,10,3,8,7,4,85,28,2,0,0,2,1,0,9,1,5,0,0,0,11,1,3,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
922,Pablo Fornals,es ESP,"MF,FW",Betis,es La Liga,28.0,1996,26,22,1827,20.3,2,0,2,2,0,0,2,0,1.8,1.8,3.3,5.1,0.10,0.25,32,146,85,23,4,17.4,1.13,0.20,0.09,0.50,21.7,0,0,0,1.8,1.8,0.08,+0.2,+0.2,887,1109,80.0,14428,4985,0,3.3,2.9,-3.3,36,93,33,8,146,1051,55,20,10,10,54,12,23,7,6,0,887,21,13,12,6,3,30,33.3,20,24,4,20,23,44,15,1,88,4.33,78,5,2,3,0,0,9,0.44,1272,20,171,684,428,36,1272,28,8,28.6,20,71.4,777,3245,1523,32,34,7,24,16,911,85,2,0,0,12,14,3,54,23,13,0,0,0,114,18,21,46.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
923,Omari Forson,eng ENG,"MF,FW",Monza,it Serie A,20.0,2004,9,1,223,2.5,0,0,0,0,0,0,0,0,0.2,0.2,0.5,0.7,0.00,0.30,14,10,18,5,1,20.0,2.02,0.40,0.00,0.00,20.4,0,0,0,0.2,0.2,0.05,-0.2,-0.2,92,113,81.4,1359,312,0,0.5,0.3,-0.5,8,7,6,2,10,109,3,1,0,0,9,2,0,0,0,0,92,3,3,1,2,0,3,33.3,2,3,0,3,1,4,1,0,14,5.65,10,1,2,0,1,0,0,0.00,140,0,15,57,69,2,140,9,6,66.7,2,22.2,103,787,426,14,14,1,8,6,111,18,0,0,0,2,2,1,9,1,3,0,0,0,11,0,2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
924,Fraser Forster,eng ENG,GK,Tottenham,eng Premier League,36.0,1988,7,7,630,7.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0,0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,168,198,84.8,3349,2105,0,0.0,0.0,0.0,0,1,0,0,0,125,72,16,0,1,0,0,0,0,0,0,168,0,0,0,0,0,1,0.0,1,0,0,0,0,0,7,3,0,0.00,0,0,0,0,0,0,0,0.00,228,212,228,0,0,0,228,1,1,100.0,0,0.0,113,501,264,0,0,0,1,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0,15,2.14,42,27,69.0,1,2,4,1,14.3,2,2,0,0,16.5,0.36,+1.5,+0.21,11,31,35.5,141,30,21.3,27.2,81,4,4.9,3,0.43,11.1
925,Héctor Fort,es ESP,DF,Barcelona,es La Liga,17.0,2006,17,5,585,6.5,0,0,0,0,0,0,2,0,0.2,0.2,0.9,1.1,0.00,0.17,14,26,33,6,0,0.0,0.92,0.00,0.00,,19.8,0,0,0,0.2,0.2,0.04,-0.2,-0.2,448,497,90.1,6222,1464,0,0.9,1.3,-0.9,10,27,3,0,26,440,56,4,0,2,12,52,0,0,0,0,448,13,8,6,4,3,16,62.5,6,12,0,12,6,19,16,0,16,2.46,15,1,0,0,0,0,1,0.15,573,18,111,300,166,17,573,9,2,22.2,7,77.8,308,1255,679,14,15,2,4,4,397,33,2,0,0,8,1,0,12,6,8,0,0,0,32,3,7,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
926,Dimitri Foulquier,fr FRA,DF,Valencia,es La Liga,31.0,1993,32,25,2299,25.5,0,1,1,0,0,0,6,0,0.4,0.4,1.4,1.8,0.04,0.07,48,97,66,13,2,15.4,0.51,0.08,0.00,0.00,21.4,0,0,0,0.4,0.4,0.03,-0.4,-0.4,1007,1276,78.9,15790,5913,1,1.4,2.0,-0.4,10,77,15,6,97,1000,270,44,2,4,57,226,0,0,0,0,1007,48,31,29,13,6,36,66.7,12,21,5,16,16,64,86,1,36,1.41,26,4,1,3,0,2,4,0.16,1530,64,451,770,319,26,1530,33,8,24.2,16,48.5,749,4153,2372,48,33,7,30,16,882,66,6,0,0,24,31,1,57,16,31,0,0,0,97,13,20,39.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927,Juan Foyth,ar ARG,DF,Villarreal,es La Liga,26.0,1998,19,17,1517,16.9,1,0,1,1,0,0,4,0,2.4,2.4,0.3,2.8,0.06,0.16,13,65,11,17,5,29.4,1.01,0.30,0.06,0.20,11.8,0,0,0,2.4,2.4,0.14,-1.4,-1.4,838,963,87.0,15860,6523,0,0.3,0.9,-0.3,7,53,8,2,65,864,98,46,3,6,4,35,0,0,0,0,838,25,15,15,6,4,16,68.8,5,26,17,9,19,44,119,3,20,1.19,19,0,0,1,0,0,1,0.06,1190,199,631,460,111,21,1190,9,4,44.4,4,44.4,607,3416,2328,13,14,0,11,2,727,11,4,0,0,16,5,0,4,19,15,0,0,0,61,41,28,59.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
928,Fran,es ESP,GK,Real Madrid,es La Liga,19.0,2005,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0,0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,19,20,95.0,386,262,0,0.0,0.0,0.0,0,0,0,0,0,15,5,1,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,0,0.00,0,0,0,0,0,0,0,0.00,22,20,22,0,0,0,22,0,0,,0,,12,40,23,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,2,2.00,2,0,0.0,0,0,1,0,0.0,0,0,0,0,0.9,0.43,-1.1,-1.14,1,2,50.0,16,3,12.5,24.0,5,1,20.0,1,1.00,12.0
929,Matheus França,br BRA,"MF,FW",Crystal Palace,eng Premier League,20.0,2004,4,0,55,0.6,1,0,1,1,0,0,0,0,0.3,0.3,0.0,0.3,1.64,0.42,4,3,4,6,3,50.0,9.82,4.91,0.17,0.33,15.8,0,0,0,0.3,0.3,0.04,+0.7,+0.7,10,17,58.8,155,75,0,0.0,0.2,0.0,0,1,0,0,3,14,1,0,0,0,1,0,0,0,0,0,10,2,0,0,2,0,0,,0,1,1,0,1,3,1,0,3,4.91,2,0,0,1,0,0,0,0.00,33,2,5,11,17,7,33,0,0,,0,,20,130,85,4,1,3,2,0,22,4,0,0,0,0,0,0,1,1,0,0,0,0,3,1,2,33.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
930,Alejandro Francés,es ESP,DF,Girona,es La Liga,21.0,2002,18,13,1173,13.0,0,0,0,0,0,0,2,0,0.2,0.2,0.3,0.6,0.00,0.04,18,63,21,6,0,0.0,0.46,0.00,0.00,,20.7,0,0,0,0.2,0.2,0.03,-0.2,-0.2,685,813,84.3,12756,3792,0,0.3,0.5,-0.3,4,69,6,3,63,695,116,20,1,10,25,96,0,0,0,0,685,36,24,22,13,1,40,70.0,12,17,8,9,17,53,52,0,16,1.23,15,0,0,1,0,0,1,0.08,969,66,343,503,130,7,969,14,7,50.0,6,42.9,496,2628,1469,18,9,1,8,1,632,21,2,0,0,20,14,1,25,17,24,0,0,0,37,6,13,31.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
931,Przemysław Frankowski,pl POL,DF,Lens,fr Ligue 1,29.0,1995,18,16,1387,15.4,4,2,6,2,2,2,3,0,2.3,0.7,2.5,3.2,0.26,0.31,33,117,95,14,5,35.7,0.91,0.32,0.14,0.40,21.9,1,2,2,2.3,0.7,0.05,+1.7,+1.3,875,1092,80.1,13489,5466,2,2.5,2.9,-0.5,20,90,36,10,117,930,156,11,4,2,78,132,13,4,9,0,875,32,21,17,10,5,30,63.3,11,10,2,8,19,51,28,0,46,2.99,38,6,0,1,1,0,5,0.32,1230,42,240,546,454,38,1228,16,6,37.5,9,56.3,637,3033,1514,33,35,2,16,8,800,95,3,0,0,18,7,1,78,19,21,0,0,0,61,8,6,57.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
932,Enric Franquesa,es ESP,"DF,FW",Leganés,es La Liga,27.0,1997,12,7,616,6.8,1,0,1,1,0,0,1,0,0.3,0.3,0.1,0.4,0.15,0.06,11,12,30,3,1,33.3,0.44,0.15,0.33,1.00,16.8,0,0,0,0.3,0.3,0.10,+0.7,+0.7,158,225,70.2,2513,1004,0,0.1,0.1,-0.1,2,5,2,2,12,179,43,0,0,0,16,43,0,0,0,0,158,17,9,9,6,2,13,69.2,4,7,1,6,5,22,12,0,6,0.88,4,0,0,1,0,1,0,0.00,306,12,89,157,68,6,306,21,9,42.9,7,33.3,133,793,337,11,10,2,21,2,151,30,1,0,0,8,6,0,16,5,9,0,0,0,29,5,5,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
933,Ryan Fraser,sct SCO,"FW,DF",Southampton,eng Premier League,30.0,1994,8,4,306,3.4,0,0,0,0,0,0,0,1,0.0,0.0,0.1,0.1,0.00,0.04,10,8,18,1,1,100.0,0.29,0.29,0.00,0.00,31.6,0,0,0,0.0,0.0,0.03,0.0,0.0,77,103,74.8,1121,208,0,0.1,0.1,-0.1,2,3,1,0,8,97,5,0,0,0,12,3,2,2,0,0,77,6,2,2,4,0,6,66.7,2,1,1,0,1,7,9,0,5,1.47,5,0,0,0,0,0,0,0.00,131,12,45,50,37,3,131,3,2,66.7,1,33.3,74,492,252,10,5,2,4,2,94,18,0,1,0,1,4,1,12,1,2,0,1,0,10,2,3,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
934,Davide Frattesi,it ITA,MF,Inter,it Serie A,24.0,1999,27,9,1158,12.9,5,1,6,5,0,0,1,0,4.0,4.0,0.8,4.8,0.47,0.35,23,31,50,26,7,26.9,2.02,0.54,0.19,0.71,13.0,0,0,0,4.0,4.0,0.14,+1.0,+1.0,297,360,82.5,4304,880,1,0.8,0.8,+0.2,7,20,5,1,31,344,14,10,5,0,8,4,0,0,0,0,297,17,8,6,10,1,18,55.6,8,12,4,8,5,22,14,1,19,1.40,13,0,2,2,2,0,2,0.15,499,20,96,261,152,44,499,18,7,38.9,7,38.9,296,1650,858,23,15,7,20,4,345,50,1,0,0,11,29,2,8,5,8,1,0,0,48,10,13,43.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
